Date,Open,High,Low,Close,Volume
04/09/2025,"171.95","200.61","171.89","198.85","184,395,906"
04/08/2025,"186.70","190.34","169.21","172.42","120,859,508"
04/07/2025,"177.20","194.15","174.62","181.46","160,466,297"
04/04/2025,"193.89","199.88","187.34","188.38","125,910,898"
04/03/2025,"205.54","207.49","201.25","203.19","103,419,000"
04/02/2025,"221.32","225.19","221.02","223.89","35,905,898"
04/01/2025,"219.81","223.68","218.90","223.19","36,412,738"
03/31/2025,"217.01","225.62","216.23","222.13","65,299,320"
03/28/2025,"221.67","223.81","217.68","217.90","39,818,621"
03/27/2025,"221.39","224.99","220.56","223.85","37,094,770"
03/26/2025,"223.51","225.02","220.47","221.53","34,532,660"
03/25/2025,"220.77","224.10","220.08","223.75","34,493,578"
03/24/2025,"221.00","221.48","218.58","220.73","44,299,480"
03/21/2025,"211.56","218.84","211.28","218.27","94,127,766"
03/20/2025,"213.99","217.49","212.22","214.10","48,862,953"
03/19/2025,"214.22","218.76","213.75","215.24","54,385,391"
03/18/2025,"214.16","215.15","211.49","212.69","42,432,434"
03/17/2025,"213.31","215.22","209.97","214.00","48,073,434"
03/14/2025,"211.25","213.95","209.58","213.49","60,107,578"
03/13/2025,"215.95","216.84","208.42","209.68","61,368,328"
03/12/2025,"220.14","221.75","214.91","216.98","62,547,473"
03/11/2025,"223.81","225.84","217.45","220.84","76,137,406"
03/10/2025,"235.54","236.16","224.22","227.48","72,071,203"
